[['114.403970', '3.424140', '0.000000'], ['113.269730', '3.466231', '0.000000']]
[['113.269730', '3.466231', '0.000000'], ['112.135013', '3.491489', '0.000000']]
[['112.135013', '3.491489', '0.000000'], ['111.001878', '3.500000', '0.000000']]
[['111.001878', '3.500000', '0.000000'], ['82.500000', '3.500000', '0.000000']]
[['82.500000', '3.500000', '0.000000'], ['53.998122', '3.500000', '0.000000']]
[['53.998122', '3.500000', '0.000000'], ['52.864987', '3.491489', '0.000000']]
[['52.864987', '3.491489', '0.000000'], ['51.730270', '3.466231', '0.000000']]
[['51.730270', '3.466231', '0.000000'], ['50.596030', '3.424140', '0.000000']]
[['50.596030', '3.424140', '0.000000'], ['49.462539', '3.365225', '0.000000']]
[['49.462539', '3.365225', '0.000000'], ['48.330047', '3.289500', '0.000000']]
[['48.330047', '3.289500', '0.000000'], ['47.198803', '3.196981', '0.000000']]
[['47.198803', '3.196981', '0.000000'], ['46.069056', '3.087688', '0.000000']]
[['46.069056', '3.087688', '0.000000'], ['44.941055', '2.961646', '0.000000']]
[['44.941055', '2.961646', '0.000000'], ['43.815048', '2.818882', '0.000000']]
[['43.815048', '2.818882', '0.000000'], ['42.691283', '2.659428', '0.000000']]
[['42.691283', '2.659428', '0.000000'], ['41.570008', '2.483319', '0.000000']]
[['41.570008', '2.483319', '0.000000'], ['40.451469', '2.290593', '0.000000']]
[['40.451469', '2.290593', '0.000000'], ['39.335912', '2.081294', '0.000000']]
[['39.335912', '2.081294', '0.000000'], ['38.223584', '1.855466', '0.000000']]
[['38.223584', '1.855466', '0.000000'], ['37.114728', '1.613161', '0.000000']]
[['37.114728', '1.613161', '0.000000'], ['36.009589', '1.354430', '0.000000']]
[['36.009589', '1.354430', '0.000000'], ['34.908411', '1.079332', '0.000000']]
[['34.908411', '1.079332', '0.000000'], ['33.811435', '0.787926', '0.000000']]
[['33.811435', '0.787926', '0.000000'], ['32.788945', '0.500000', '0.000000']]
[['32.788945', '0.500000', '0.000000'], ['0.500000', '0.500000', '0.000000']]
[['1.000000', '1.000000', '0.000000'], ['1.000000', '9.500000', '0.000000']]
[['1.000000', '9.500000', '0.000000'], ['1.000000', '18.000000', '0.000000']]
[['1.000000', '18.000000', '0.000000'], ['32.719889', '18.000000', '0.000000']]
